id,Title,Tag,State,Open Date,Close Date
1001,b'Podman CLI Server: Illegal instruction (core dumped)',[],open,2022-01-05T17:34:15Z,
1000,b'Install openFace for mac ',[],open,2022-01-02T12:37:03Z,
999,b'How can I use the CE-CLM model in C++ code? ',[],open,2021-12-23T03:25:06Z,
998,"b'fix ""Could not find OpenBLAS lib."" for max'",[],open,2021-12-19T06:24:11Z,
997,b'detailed instructions on how to do standalone action unit forecasting',[],closed,2021-11-26T10:34:13Z,2021-12-01T07:27:03Z
996,b'Problem about download_libraries.ps1',[],open,2021-11-20T13:03:04Z,
995,b'Real-time usage with named pipe',[],open,2021-11-17T19:35:57Z,
994,b'Face recognition problem for mask users.',[],open,2021-11-17T03:01:18Z,
993,b'FeatureExtraction for video frame rate',[],open,2021-11-05T08:10:04Z,
992,b'Recreating the output',[],open,2021-11-04T07:20:42Z,
991,b'Error when building solution',[],open,2021-10-20T14:54:42Z,
990,b'Install OpenCV4 via apt on Ubuntu Focal',[],open,2021-09-08T03:22:21Z,
989,b'parallelism removed. solves #922',[],closed,2021-09-03T12:13:24Z,2021-12-03T16:29:23Z
988,b'[Docker] too many thread_release_buffer calls!',[],open,2021-08-31T20:27:45Z,
987,b'Copy models after downloading',[],open,2021-08-31T13:40:56Z,
986,b'Is this error message a bug?',[],open,2021-08-25T20:09:06Z,
985,b'Some questions about landmarks locations in 3D',[],open,2021-08-19T12:27:20Z,
984,b'Run-time AU stream analysis',[],open,2021-08-08T10:10:03Z,
983,b'HOW TO READ OUTPUTS CORRECTLY',[],closed,2021-08-07T07:06:01Z,2021-08-31T12:25:22Z
982,b'FaceLandmarkVidMulti determining who is person 0 and person 1',[],open,2021-07-23T19:47:15Z,
981,"b""recipe for target 'bin/FaceLandmarkImg' failed""",[],open,2021-07-03T04:52:45Z,
980,b'Issue with build on MacOS',[],open,2021-07-02T20:25:56Z,
979,b'Huge variance in AUxx_c when a smaller segment of video is processed and when the entire video is processed',[],open,2021-06-25T16:06:41Z,
978,b'Finetuning your model',[],open,2021-06-24T06:33:59Z,
977,"b""Unresolved reference to 'dgesvd_'""",[],closed,2021-06-22T14:38:20Z,2021-06-29T12:26:21Z
976,b'just faclandmarks',[],closed,2021-06-21T12:16:35Z,2021-07-23T09:35:39Z
975,b'Error with finding package configuration file',[],closed,2021-06-18T14:32:12Z,2021-06-30T16:17:01Z
974,b'Mapping between eye-gaze vectors and screen coordinates',[],open,2021-06-16T14:08:18Z,
973,b'HoG feature dimensionality',[],closed,2021-05-30T14:48:09Z,2021-06-25T12:58:32Z
972,b'Repeating Frame Bug',[],closed,2021-05-27T17:28:44Z,2021-05-28T17:41:05Z
