id,Title,Tag,State,Open Date,Close Date
3439,b'Add support to release linux aarch64 wheels',[],open,2022-01-28T06:30:33Z,
3438,"b"" slot = slot_class(slot_name, **slot_dict[slot_name]) TypeError: __init__() got an unexpected keyword argument 'values'""",[],closed,2022-01-27T16:53:07Z,2022-01-27T16:53:47Z
3437,"b"" pip's dependency resolver does not currently take into account all the packages that are installed. This behaviour is the source of the following dependency conflicts. flask-sqlalchemy 2.4.4 requires Flask>=0.10, which is not installed.""",[],closed,2022-01-25T10:17:43Z,2022-01-27T17:07:56Z
3436,b'Side information usage on ItemSimilarityRecommender',[],open,2022-01-18T21:27:33Z,
3435,b'Use turicreate model in CAM.',[],open,2022-01-06T21:35:53Z,
3434,b'Error when running model.stylize',"['style transfer', 'toolkits']",open,2021-12-11T00:11:30Z,
3433,b'Where exactly is https://static.turi.com/datasets/bond/bond_edges.csv  dataset?',[],closed,2021-11-20T20:29:53Z,2021-11-20T21:46:24Z
3432,b'm1 macbook pro GPU is not used to train images',[],open,2021-11-20T05:05:10Z,
3431,b'Object detection quantization error',"['object detection', 'toolkits']",closed,2021-11-18T10:22:59Z,2021-11-19T22:43:00Z
3430,b'Remove defunct links from README',[],closed,2021-11-15T22:11:27Z,2021-11-29T19:55:31Z
3429,b'Error while installing Turicreate in MacOS Big Sur 11.3.1',['duplicate'],closed,2021-11-02T13:21:08Z,2021-11-04T18:33:13Z
3428,b'Error while installing Turi Create in Windows',[],closed,2021-11-01T23:42:23Z,2021-11-01T23:46:36Z
3427,b'Change the name of classes in a trained classifier',"['question', 'image classifier', 'toolkits']",closed,2021-10-22T20:42:34Z,2021-11-01T23:46:57Z
3426,b'Python version 3.10 not supported',['enhancement'],open,2021-10-22T12:32:16Z,
3425,b'item_similarity_recommender not consistent with docs formula',"['question', 'recommender', 'toolkits']",open,2021-10-08T19:42:12Z,
3424,b'Segmentation fault (core dumped)',"['bug', 'recommender', 'toolkits']",open,2021-09-23T03:05:27Z,
3423,b'Remove Traivs CI config',[],closed,2021-09-17T19:11:34Z,2021-09-21T17:45:37Z
3422,b'Style Transfer: Getting Result as a garbage on Apple M1 Silicon iMac',"['style transfer', 'toolkits']",open,2021-09-01T09:52:49Z,
3421,b'Trouble to install turicreate',['duplicate'],closed,2021-08-23T08:43:18Z,2021-08-23T16:59:25Z
3420,b'set the number of threads in recommendation module',"['question', 'recommender', 'toolkits']",closed,2021-08-19T05:44:15Z,2021-08-19T17:13:44Z
3419,b'New observation data in recommendation module does not work.',"['bug', 'duplicate', 'recommender', 'toolkits']",closed,2021-08-18T09:23:19Z,2021-08-24T20:21:56Z
3418,b'cuda SGD matrix factorization in Graphlab',['question'],closed,2021-08-17T19:39:27Z,2021-08-17T20:41:26Z
3417,b'Python 3.9 support -- minimal TuriCreate version only',[],closed,2021-08-13T22:07:18Z,2021-08-16T18:50:46Z
3416,b'Installation issues in Windows 10',[],closed,2021-08-06T08:27:07Z,2021-08-06T15:35:59Z
3415,"b""Can't create a one_shot_object_detector model with custom backgrounds""","['toolkits', 'one shot object detection']",closed,2021-07-28T13:52:37Z,2021-08-24T13:42:35Z
3414,b'Turi Create Visualization image previews not displaying',['visualization'],open,2021-07-12T14:05:46Z,
3413,b'Any future updates for turicreate',['duplicate'],closed,2021-07-01T13:54:57Z,2021-07-01T18:52:50Z
3412,b'resnet-50 model not works',"['question', 'toolkits']",open,2021-06-28T11:32:37Z,
3411,b'impossible to use side item_data in recommender if one value is missing',"['question', 'recommender', 'toolkits']",open,2021-06-16T14:56:45Z,
3410,"b'Docs: remove ""video"" from support data types'",[],closed,2021-06-14T17:10:11Z,2021-06-14T17:53:17Z
