id,Title,Tag,State,Open Date,Close Date
1382,b'Fix: add error to be ignored during test',[],closed,2022-01-28T10:26:57Z,2022-01-28T12:45:41Z
1381,b'Category Coalescence',[],open,2022-01-27T22:54:58Z,
1380,b'Importing autosklearn.classification fails in 0.14.4',[],closed,2022-01-25T19:43:55Z,2022-01-25T22:33:44Z
1379,b'V0.14.4',[],closed,2022-01-25T15:27:05Z,2022-01-25T15:31:00Z
1378,b'V0.14.4',[],closed,2022-01-24T15:37:22Z,2022-01-25T15:01:27Z
1377,b'Proper way of doing leave-one-out cross validation in auto-sklearn',['question'],closed,2022-01-24T12:51:24Z,2022-01-26T07:18:29Z
1376,"b'Is there a way to retrieve all trained models during the trial, not just the ones in the best model?'","['question', 'Feedback-Required']",open,2022-01-21T17:42:12Z,
1375,b'Add model export to sklearn',[],open,2022-01-20T13:03:47Z,
1374,b'Add `random_state` to steps in  `feature_type_categorical.py` ',['maintenance'],open,2022-01-19T14:47:06Z,
1373,b'Text preprocessing V2 TODOs',['enhancement'],open,2022-01-19T14:37:13Z,
1372,b'start updating scikit-learn',[],open,2022-01-18T09:46:41Z,
1371,b'scikit-learn 1.0+ compatible release on PyPI',[],open,2022-01-18T07:17:02Z,
1370,b'Fix: imports from relative to absolute',['PR: Minor'],closed,2022-01-14T09:41:01Z,2022-01-14T10:45:52Z
1369,b'Fix the ensemble_size == 0 error in automl.py',[],open,2022-01-13T10:53:06Z,
1368,b'Fix: kernal pca config error with sparse data',[],closed,2022-01-12T21:46:23Z,2022-01-12T23:11:23Z
1367,b'Fix: MLPRegressor tests',['PR: Minor'],closed,2022-01-12T16:50:25Z,2022-01-12T21:47:55Z
1366,b'Fix: Make SimpleClassificationPipeline tests deterministic',"['PR: Review Ready', 'PR: Minor']",closed,2022-01-11T11:54:45Z,2022-01-12T15:35:37Z
1365,b'`AutoML::fit_ensemble` with `ensemble_size =0` causes crash',"['Good first issue', 'maintenance']",open,2022-01-10T10:57:58Z,
1364,b'Export asklearn2 predictions to improve start up time',"['Good first issue', 'maintenance']",open,2022-01-10T10:54:07Z,
1363,b'[Bug] Under utilizing CPU usage',['bug'],open,2022-01-07T10:54:00Z,
1362,b'Slow import of AutoSklearn2Classifier',['bug'],closed,2022-01-05T14:42:57Z,2022-01-12T16:54:24Z
1361,b'Remove flaky dep',"['PR: Review Ready', 'PR: Minor']",closed,2022-01-02T20:16:25Z,2022-01-10T14:26:27Z
1360,b'How do you treat the missing values?',"['question', 'Feedback-Required']",open,2021-12-31T06:16:52Z,
1359,b'Model Size is big in auto sklearn',['question'],closed,2021-12-27T08:16:12Z,2022-01-10T11:30:38Z
1358,b'Tools update',"['PR: Review Ready', 'PR: Minor']",open,2021-12-26T01:08:46Z,
1357,b'Check if test requirement `flaky` can be removed',['maintenance'],closed,2021-12-25T23:34:11Z,2022-01-12T16:53:50Z
1356,"b'Update dask requirement, disabled example'",[],closed,2021-12-24T18:38:04Z,2021-12-24T22:24:39Z
1355,b'Update dask',"['maintenance', 'urgent']",closed,2021-12-22T12:02:54Z,2022-01-10T11:23:55Z
1354,b'Update dask requirements',"['maintenance', 'urgent']",closed,2021-12-22T12:01:15Z,2021-12-24T18:27:55Z
1353,b'Security vulnerability in dask < 2021.10.0',"['maintenance', 'urgent']",closed,2021-12-22T08:42:55Z,2022-01-11T11:28:43Z
