id,Title,Tag,State,Open Date,Close Date
563,b'updated CI with new python versions',[],closed,2022-01-28T12:47:07Z,2022-01-28T13:00:12Z
562,b'Update keras_metrics.py',[],closed,2022-01-28T08:47:01Z,2022-01-28T09:33:47Z
561,"b""Can't find description of layer shapes """,[],open,2021-11-12T09:02:46Z,
558,b'Cannot replicate typical example from documentation',['user support'],open,2021-10-04T12:17:49Z,
557,"b'Using train, val data'",['user support'],closed,2021-09-22T10:45:43Z,2021-11-10T07:20:19Z
556,b'add arguments to the function syntax',['user support'],closed,2021-09-02T09:24:14Z,2021-11-10T07:21:35Z
553,"b""ImportError: cannot import name 'get_config'""","['topic: tensorflow', 'user support']",open,2021-08-12T02:44:50Z,
552,b'#troubleshoot',['user support'],open,2021-06-18T14:43:53Z,
551,b' Failed to build scipy while installing talos',['user support'],closed,2021-06-14T22:50:08Z,2021-06-21T12:57:39Z
550,b'549 remove heatmap mask',[],closed,2021-05-25T16:09:15Z,2021-05-25T17:53:38Z
549,b'Heatmap always have missing parts',"['user support', 'topic: upstream: astetik']",closed,2021-05-17T18:44:43Z,2021-05-25T17:53:38Z
548,b'Fix Out of bounds error with boolean_limit mentioned in issue #512',[],open,2021-04-10T08:48:30Z,
547,"b""Key duplication results in exception: param dict vs. csv file stored (e.g., 'loss')""",['investigation'],open,2021-03-27T03:17:44Z,
546,b'fixes recovery issue mentioned in #534',[],closed,2021-03-13T16:53:19Z,2021-05-27T09:49:51Z
545,b'Resume run possible?',['user support'],closed,2021-02-23T01:39:40Z,2021-03-13T15:22:46Z
544,b'talos execution fails of very first example:',['user support'],closed,2021-02-19T08:47:16Z,2021-03-13T15:24:07Z
543,b'Bug with an example code ',[],closed,2021-02-15T10:35:57Z,2021-02-15T10:37:39Z
542,b'How to use regularizers in hidden layers in Talos?',['user support'],closed,2021-02-14T12:24:16Z,2021-05-25T17:58:21Z
539,b'Using regularizers in talos with hidden layers function ',['user support'],closed,2021-02-11T16:24:40Z,2021-02-14T09:49:44Z
538,b'Talos installation on a Windows system within Conda Environment',"['user support', 'topic: install']",closed,2021-02-02T05:54:56Z,2021-02-14T09:48:58Z
534,b'talos for a model with custom layer',[],closed,2021-01-27T01:27:33Z,2021-05-27T09:49:51Z
533,b'Error using Talos with Unsupervised Learning on LSTM/Autoencoder Model',['user support'],open,2021-01-20T19:17:08Z,
532,"b""KeyError: 'metrics' on Kaggle & google colab""",[],open,2021-01-15T02:06:20Z,
531,b'ValueError: The `kernel_size` argument must be a tuple of 1 integers when use params for kernel size',[],open,2020-12-27T14:30:50Z,
528,b'Skip certain parameter combinations in the parameter space',['discussion'],open,2020-12-23T10:01:29Z,
527,"b""KeyError: 'metrics'      (in talos scan)""",[],closed,2020-12-19T18:46:01Z,2021-01-03T03:29:29Z
526,"b""Multiple Inputs example can't run ""","['topic: examples', 'move-to-docs']",open,2020-12-13T04:20:15Z,
524,b'TypeError: model() takes 3 positional arguments but 5 were given',['user support'],closed,2020-11-24T13:49:34Z,2020-11-29T12:52:56Z
523,b'Error with the tutorial example',[],closed,2020-11-24T01:21:37Z,2020-11-24T01:27:07Z
522,b'Update bug-report.md',[],closed,2020-11-21T12:07:30Z,2020-11-21T16:27:04Z
