id,Title,Tag,State,Open Date,Close Date
3119,b'Fix typo',[],closed,2022-01-28T10:38:44Z,2022-01-28T14:44:31Z
3118,b'added a sample notebook for dgl-lifesci(binding affinity prediction)',[],open,2022-01-27T09:58:08Z,
3117,b'added a sample notebook for dgl-lifesci(binding affinity prediction)',[],closed,2022-01-27T09:55:07Z,2022-01-27T09:56:55Z
3116,b'Dgl lifesci',[],closed,2022-01-27T09:33:32Z,2022-01-27T09:53:43Z
3115,b'Remove dependency on file in root repo',[],open,2022-01-26T21:34:09Z,
3114,b'Fix broken link + remove dependency on entire repo',[],open,2022-01-26T19:48:43Z,
3113,b'Fix FileNotFoundError when downloading dataset and NameError bugs',[],closed,2022-01-26T14:39:13Z,2022-01-26T14:54:38Z
3112,"b""[Bug Report] NameError: name 'summarize_script_uri' is not defined""",[],open,2022-01-26T14:25:54Z,
3111,b'[Bug Report] FileNotFoundError when downloading dataset',[],open,2022-01-26T14:22:27Z,
3110,"b'[Bug Report] with Instance_type = ""local_gpu"",  SageMaker unable to find PyTorch inference container image.'",[],open,2022-01-26T01:16:57Z,
3109,b'Fix training name conflict error in r_xgboost_hpo_batch_transform.ipynb',[],closed,2022-01-25T00:57:10Z,2022-01-25T18:08:10Z
3108,b'Fix training name conflict error by adding date in addition to time in r_xgboost_batch_transform.ipynb',[],closed,2022-01-24T22:11:22Z,2022-01-24T23:16:38Z
3107,b'Fix bucket naming issue + Mismatched word counts in object2vec_sentence_similarity.ipynb',[],closed,2022-01-24T18:35:01Z,2022-01-25T22:24:10Z
3106,b'Sagemaker Processors base_job_name argument not working',[],open,2022-01-24T12:39:05Z,
3105,b'Correct the response content type of the SageMaker Clarify example BYOC',[],closed,2022-01-23T00:56:24Z,2022-01-25T16:25:26Z
3104,b'Delete inference_pipeline_sparkml_xgboost_abalone.ipynb and inference_pipeline_sparkml_xgboost_car_evaluation.ipynb + remove references from README and rst files',[],closed,2022-01-21T18:47:12Z,2022-01-26T18:55:04Z
3103,b'Solve AioClientCreator in deepar_chicago_traffic_violations.ipynb',[],closed,2022-01-20T21:43:10Z,2022-01-21T17:56:28Z
3102,b'[Feature Request] Serverless Inference with VPC Config',[],open,2022-01-20T09:36:40Z,
3101,b'Solve out of index error in Dashboard_SEC_Filings.ipynb',[],closed,2022-01-19T23:30:07Z,2022-01-20T19:48:09Z
3100,b'Bloyal tensorflow iris byom',[],open,2022-01-19T21:32:08Z,
3099,b'Change from deleting all artifacts to only the ones that were created in sagemaker-lineage.ipynb',[],closed,2022-01-19T19:23:04Z,2022-01-19T21:27:01Z
3098,b'Solve AioClientCreator error in EnsembleLearnerCensusIncome.ipynb',[],closed,2022-01-19T18:33:06Z,2022-01-20T21:03:37Z
3097,b'Solve TensorUnavailableStep error for bert_attention_head_view.ipynb',[],closed,2022-01-18T22:18:26Z,2022-01-19T18:04:06Z
3096,b'Edit code to make sure model training finishes in r_xgboost_hpo_batch_transform.ipynb ',[],closed,2022-01-18T19:16:31Z,2022-01-18T20:54:29Z
3095,b'Train and deploy a custom HuggingFace model for Text Summarization on Amazon SageMaker',[],open,2022-01-17T17:17:41Z,
3094,b'Update huggingface-inference-recommender to fix documentation error',[],closed,2022-01-15T16:27:28Z,2022-01-19T22:24:25Z
3093,b'Add notebook for running SageMaker Autopilot with a Parquet dataset',[],closed,2022-01-14T15:43:04Z,2022-01-19T03:48:06Z
3092,b'fix training name conflicts',[],closed,2022-01-13T23:07:41Z,2022-01-18T18:43:57Z
3091,b'Fix gzip data loading issue in higgs_boson_detection.ipynb',[],closed,2022-01-12T18:08:11Z,2022-01-13T22:13:43Z
3090,b'Fix Amazon Comprehend with SageMaker Pipelines clean up',[],closed,2022-01-12T15:51:00Z,2022-01-13T15:12:55Z
