id,Title,Tag,State,Open Date,Close Date
1521,b'I had some problems running the Object Detection - Quick Start sample',[],open,2022-01-28T11:12:38Z,
1520,b'[Tabular] Quantile aggregation model (updated version)',[],open,2022-01-28T05:21:35Z,
1519,b'BUG: LightGBM and XGBoost slow down FastAI and TorchNN on Linux',"['bug', 'urgent', 'tabular']",open,2022-01-28T04:49:15Z,
1518,b'[v0.4] AutoGluon cheatsheet',['API & Doc'],open,2022-01-28T01:50:47Z,
1517,b'v0.4 Release Tracking Issue',['discussion'],open,2022-01-27T19:42:56Z,
1516,b'Fix catboost mem callback',[],closed,2022-01-26T19:28:21Z,2022-01-27T21:59:22Z
1515,b'Add adaptive predictor predict threshold in binary classification',['enhancement'],open,2022-01-26T17:32:59Z,
1514,b'[issue#1510] fix - NN_TORCH model is incorrectly handling crashing during inference because no batchnorm statistics recorded',[],closed,2022-01-25T23:47:52Z,2022-01-26T16:59:53Z
1513,b'Add platform nightly tests',[],open,2022-01-25T23:25:27Z,
1512,b'cap pandas version',[],closed,2022-01-24T22:23:32Z,2022-01-25T00:30:56Z
1511,b'Various HPO Cleanup / Fixes',[],open,2022-01-24T03:32:42Z,
1510,b'NN_TORCH incorrectly implements `use_batchnorm=True`',"['bug', 'urgent', 'tabular']",closed,2022-01-24T02:09:24Z,2022-01-26T16:59:53Z
1509,b'Optimize XGBoost Save/Load',[],closed,2022-01-23T04:00:48Z,2022-01-24T02:20:39Z
1508,b'Handle nan in categorical feature in text feature generator',[],closed,2022-01-21T20:35:11Z,2022-01-25T20:20:26Z
1507,b'NeuralNetFastAI runs extremely slow',"['question', 'tabular']",open,2022-01-21T09:57:15Z,
1506,b'Add tabular tests dependency to platform test',[],closed,2022-01-21T03:03:36Z,2022-01-24T02:28:28Z
1505,b'How do I set confidence when I use test data to predict? Are there relevant parameters?',['question'],open,2022-01-21T02:34:15Z,
1504,b'Validate unique indices for various API',[],closed,2022-01-20T21:48:25Z,2022-01-24T02:25:02Z
1503,b'ARM/M1 dependency upgrade and doc',[],closed,2022-01-20T20:14:48Z,2022-01-26T01:18:02Z
1502,b'Enable calibrate',[],closed,2022-01-20T03:31:57Z,2022-01-22T02:27:48Z
1501,b'mac \xe5\xae\x89\xe8\xa3\x85autogluon  import lightgbm error',"['question', 'tabular', 'MacOS']",closed,2022-01-19T05:39:30Z,2022-01-19T19:23:51Z
1500,b'[docs] updating containers doc links',[],closed,2022-01-19T00:00:09Z,2022-01-19T17:50:45Z
1499,b'fix vowpal',[],closed,2022-01-18T23:51:52Z,2022-01-19T01:00:04Z
1498,b'Vowpal Wabbit model fail with image',['bug'],closed,2022-01-18T23:12:58Z,2022-01-19T01:00:26Z
1497,b'disable bayesopt',[],closed,2022-01-18T21:45:12Z,2022-01-19T00:24:37Z
1496,b'example code of Image Prediction can not work',['question'],closed,2022-01-18T12:19:57Z,2022-01-19T00:38:01Z
1495,b'Text Prediction only be handled in English? Do you support Chinese?',"['question', 'nlp']",open,2022-01-18T11:56:54Z,
1494,b'Consider passing word embeddings through lossy PCA before sending to models (enhancement)',"['enhancement', 'nlp']",closed,2022-01-17T23:23:20Z,2022-01-21T22:26:42Z
1493,b'Add scikit-learn compatible API',"['enhancement', 'help wanted', 'good first issue', 'tabular']",open,2022-01-17T22:25:41Z,
1492,b'[v0.4] bayesopt mapping to random to avoid legacy errors',['hpo'],closed,2022-01-17T22:13:57Z,2022-01-19T00:24:37Z
