id,Title,Tag,State,Open Date,Close Date
7614,b'M1 Pro only using 6 cores',[],open,2022-01-28T14:02:24Z,
7613,b'How to pass weights to a custom objective function when using random forest with Scikit-Learn-Like API',[],closed,2022-01-28T11:49:40Z,2022-01-28T13:33:25Z
7612,b'[Doc] Add instruction to install XGBoost for Apple Silicon using Conda',[],closed,2022-01-28T08:43:01Z,2022-01-28T09:06:40Z
7611,b'use exit hook to remove temp file',[],open,2022-01-28T05:45:58Z,
7610,b'(R) Cannot predict on CSR data',['feature-request'],open,2022-01-27T20:27:40Z,
7609,b'Initialize PySpark API',[],closed,2022-01-27T11:15:03Z,2022-01-27T20:11:50Z
7608,b'Remove `omp_get_max_threads`',[],closed,2022-01-26T14:42:36Z,2022-01-28T08:09:23Z
7607,b'Add special handling for multi:softmax in sklearn predict',[],open,2022-01-26T09:12:12Z,
7606,b'[R] Fix typo in docstring',[],closed,2022-01-26T08:28:06Z,2022-01-26T15:33:25Z
7605,b'Dramatic XGBoost accuracy degradation on Iris dataset.',['type: bug'],open,2022-01-26T06:45:08Z,
7604,b'[backport] [dask] Fix ddqdm with empty partition. (#7510)',[],closed,2022-01-25T10:27:59Z,2022-01-25T14:55:35Z
7603,"b'Add type hints to callback, compat, and config.py'",[],open,2022-01-25T07:09:51Z,
7602,b'Add xgboost4j-example-gpu module',[],open,2022-01-25T03:46:30Z,
7601,b'Compress fatbins',[],closed,2022-01-24T23:11:12Z,2022-01-25T10:30:59Z
7600,b'Incremental learning error?',[],closed,2022-01-24T21:59:10Z,2022-01-26T11:36:26Z
7599,b'ERROR XGBoostSpark: the job was aborted due to java.lang.ClassCastException: ml.dmlc.xgboost4j.scala.Booster cannot be cast to ml.dmlc.xgboost4j.scala.Booster',[],closed,2022-01-24T19:00:25Z,2022-01-25T19:59:26Z
7598,b'fit fails without any sort of reason when training XGBRegressor',[],closed,2022-01-24T16:17:24Z,2022-01-24T19:06:45Z
7597,b'Grid Search while running XGBoost AFT in R',[],open,2022-01-24T14:04:35Z,
7596,b'import error (compatibility with the M1 chip?)',[],closed,2022-01-24T07:56:01Z,2022-01-26T09:20:59Z
7595,b'Support latest pandas Index type.',[],closed,2022-01-24T03:54:04Z,2022-01-26T10:20:10Z
7594,b'dart tree weight is not considered in global feature score.',[],open,2022-01-24T03:30:08Z,
7593,b'pandas.Int64Index is deprecated',[],closed,2022-01-23T11:51:43Z,2022-01-26T10:20:10Z
7592,b'Fix `max_cat_to_onehot` doc annotation [skip ci]',[],closed,2022-01-23T08:30:40Z,2022-01-23T08:33:24Z
7591,b'Avoid regenerating the gradient index for approx.',[],closed,2022-01-22T13:35:40Z,2022-01-26T13:41:31Z
7590,b'Remove `omp_get_max_threads` in tree updaters.',[],closed,2022-01-22T10:19:15Z,2022-01-26T11:55:47Z
7589,b'Remove `omp_get_max_threads` in objective.',[],closed,2022-01-21T20:25:00Z,2022-01-23T20:35:49Z
7588,b'Remove `omp_get_max_threads` in data.',[],closed,2022-01-21T14:18:19Z,2022-01-23T18:44:07Z
7587,b'Weight parameter not used while using xgboost aft',['status: need update'],closed,2022-01-21T10:19:52Z,2022-01-24T19:07:25Z
7586,b'MAPE metric gives NaN when estimating zero loss residuals on a value of zero',[],closed,2022-01-20T17:54:41Z,2022-01-26T11:37:33Z
7585,b'Small cleanup to tests.',[],closed,2022-01-20T13:07:40Z,2022-01-21T06:26:58Z
