id,Title,Tag,State,Open Date,Close Date
3565,b'EXIF orientation info is not handled',[],open,2022-01-27T22:45:09Z,
3564,b'Clean',[],closed,2022-01-26T23:15:19Z,2022-01-26T23:21:22Z
3563,b'Fix Classification Interpretation',[],closed,2022-01-25T05:14:26Z,2022-01-26T00:14:52Z
3562,"b"" TypeError: __init__() missing 2 required positional arguments: 'decoded' and 'losses'""",[],closed,2022-01-25T04:21:18Z,2022-01-26T00:14:52Z
3561,b'docker-compose changes file permissions',[],open,2022-01-22T16:01:42Z,
3560,b'Fixes Interpretation.from_learner when passed text training dataloader. Adds & fix Interpretation tests.',[],closed,2022-01-21T21:17:31Z,2022-01-21T21:23:34Z
3559,"b'Make DataLoaders more robust to misuse, e.g., CategoryMap should raise for invalid categories'",[],open,2022-01-21T19:54:41Z,
3558,b'Updates Interpretation class to be memory efficient',[],closed,2022-01-21T04:34:11Z,2022-01-21T04:39:04Z
3557,b'Keep-Alive-Actions',[],closed,2022-01-20T03:05:44Z,2022-01-20T03:05:44Z
3556,"b""Interpretation for text classifier doesn't work with training set because of wrong type for dataloader idx's""",[],closed,2022-01-18T13:17:16Z,2022-01-21T21:23:34Z
3555,"b""NameError: name 'get_transforms' is not defined""",[],open,2022-01-18T09:08:20Z,
3554,b'Fix: Learner.show_results uses passed dataloader via dl_idx or dl arguments',[],closed,2022-01-15T04:54:48Z,2022-01-19T04:15:34Z
3553,b'Calling len() on empty TensorBase causes PyTorch 1.10 DeprecationWarning',[],open,2022-01-12T15:24:53Z,
3552,b'fastai.torch_core.TensorImage and fastai.torch_core.TensorCategory are incompatible with PyTorch loss functions',[],open,2022-01-12T10:44:41Z,
3551,b'Fix siamese tutorial',[],closed,2022-01-07T11:44:44Z,2022-01-19T04:51:58Z
3550,"b""interp.plot_top_losses show only one image, other's blank""",[],open,2022-01-06T17:06:49Z,
3549,b'tabular learner prediction seems to call python code that runs in time quadratic to number of features',[],open,2022-01-04T21:14:50Z,
3548,b'Keep-Alive-Actions',[],closed,2022-01-02T03:06:04Z,2022-01-02T03:06:05Z
3547,b'Update 10_tutorial.pets.ipynb',[],closed,2021-12-31T03:23:24Z,2022-01-25T02:06:50Z
3546,"b'add link, update docs'",[],closed,2021-12-31T02:36:50Z,2022-01-25T02:07:58Z
3545,b'Device handling in a virtualised environment',[],open,2021-12-30T00:33:24Z,
3544,b'Fix learn.export pickle error with MixedPrecision Callback',[],closed,2021-12-23T22:18:19Z,2022-01-25T02:19:13Z
3543,b'TensorBoardCallback doesnt work in distributed training',[],open,2021-12-20T15:14:19Z,
3542,b'Keep-Alive-Actions',[],closed,2021-12-20T03:05:49Z,2021-12-20T03:05:50Z
3541,b'Using to_fp16 causes export error',[],closed,2021-12-19T13:17:17Z,2022-01-25T02:19:13Z
3540,b'Added docs for WeightedDL',[],closed,2021-12-18T03:33:25Z,2022-01-25T23:50:35Z
3539,b'Compile custom Fast.ai trained PyTorch model on AWS Neuron Compiler',[],open,2021-12-16T05:19:48Z,
3538,b'Cannot create an ImageClassifierCleaner when the dataloaders have a DataFrame',[],open,2021-12-13T14:51:37Z,
3537,b'Metric Calculation Error',[],closed,2021-12-10T20:15:40Z,2021-12-12T23:06:50Z
3536,b'DataBlock gives cryptic error when used with dataframe and no training set',[],open,2021-12-10T15:50:01Z,
