id,Title,Tag,State,Open Date,Close Date
1289,b'Saving a model after pretraining on custom data.',[],open,2022-01-09T19:24:43Z,
1288,"b'    super(AdamWeightDecayOptimizer, self).__init__(False, name) TypeError: __init__() takes 1 positional argument but 3 were give'",[],open,2021-12-30T03:54:54Z,
1287,b'tokenizer.word_index.items() with bert ',[],open,2021-12-28T05:35:23Z,
1286,b'How to predict the probability of an empty string using BERT',[],open,2021-12-28T00:30:49Z,
1284,b'How can I use the model in my own computer?',[],closed,2021-12-17T11:53:01Z,2021-12-17T16:04:27Z
1281,b'How can i change LSTM to BERT ? ',[],closed,2021-12-11T09:49:22Z,2021-12-30T15:18:06Z
1280,"b'where is the source code of tf.contrib.tpu.RunConfig(),my tensorflow version is 1.11.0'",[],open,2021-12-02T07:00:48Z,
1279,b'How can I change head of multi-head attention and the layers of self attention in BERT?',[],open,2021-11-28T14:49:07Z,
1278,b'OP_REQUIRES failed at save_restore_v2_ops.cc:184 : Not found: Key output_bias not found in checkpoint',[],open,2021-11-24T12:47:32Z,
1277,b'Error:   AutoTrackable',[],open,2021-11-22T13:08:31Z,
1276,b'How to evaluate the MLM-accuracy of the pre-trained models?',[],open,2021-11-10T09:49:22Z,
1275,b'Korean translation',[],open,2021-11-04T01:03:17Z,
1274,b'use tensorflow2.0',[],open,2021-11-03T01:08:53Z,
1273,b'My Twitter New still old charm',[],open,2021-10-29T06:50:32Z,
1272,b'run_pretraining.py ignores undefined flags.',[],open,2021-10-27T03:18:12Z,
1271,"b""How can I select the optimizer AdamW for run 'run_pretraining.py'?""",[],closed,2021-10-22T00:56:44Z,2021-10-27T03:02:07Z
1270,b'Creating_pretrainingdata is getting killed with bookcorpus dataset',[],open,2021-10-21T19:32:23Z,
1269,b'gfile reading with tf 2.6 no longer works ',[],open,2021-10-14T22:13:42Z,
1268,b'how to train BERT in bfloat16 mode on TPUs? ',[],open,2021-10-09T03:17:43Z,
1267,b'Specify language when executing run_pretraining.py',[],open,2021-10-07T13:10:18Z,
1266,b'Can BERT recognize if a sentence fragment follows from a preceding one?',[],open,2021-10-05T14:30:48Z,
1265,b'modeling_test.py failed',[],closed,2021-09-28T08:15:57Z,2021-10-27T03:02:21Z
1264,b'You missed Ro',[],open,2021-09-14T20:16:23Z,
1260,b'Gpu train',[],open,2021-08-31T21:30:12Z,
1259,b'BasicTokenizer process question(tokenization.py)',[],open,2021-08-27T13:19:26Z,
1258,b'Why just show global_step/sec&examples/sec by pretrain?',[],open,2021-08-26T01:01:08Z,
1257,b'Printing the weights of a pre-trained model',[],open,2021-08-25T05:26:15Z,
1256,"b'Scripts to Reproduce the ""Well-Read Students Learn Better"" Results'",[],open,2021-08-20T21:50:56Z,
1255,b'BERT pretraining: MLM Acc 0.558 and NSP Acc 0.987 -- does this mean overfitting?',[],open,2021-08-19T16:33:30Z,
1251,b'questions about mlm task during pretraining',[],open,2021-08-15T11:09:57Z,
