id,Title,Tag,State,Open Date,Close Date
15397,b'[activations] pytorch-1.11+ Tanh Gelu Approximation ',['Performance'],open,2022-01-28T17:57:58Z,
15396,"b""ImportError: cannot import name 'ImageGPTFeatureExtractor' from 'transformers' (unknown location)""",[],open,2022-01-28T17:29:45Z,
15395,b'Make links explicit',[],closed,2022-01-28T17:06:20Z,2022-01-28T17:31:23Z
15394,b'Use argument for preprocessing workers in run_summairzation',[],open,2022-01-28T16:10:46Z,
15393,"b""snapshot_download() got an unexpected keyword argument 'allow_regex'""",[],open,2022-01-28T16:09:01Z,
15392,b'Logits size does not match vocabulary size when using pyctcdecode for a fine-tuned wav2vec 2.0 model',[],open,2022-01-28T16:05:21Z,
15391,b'[Fix doc example] FlaxMarianPreTrainedModel',[],closed,2022-01-28T15:18:51Z,2022-01-28T15:53:25Z
15390,"b""can't use with pytorch dataloader""",[],open,2022-01-28T14:44:50Z,
15389,b'Fine Tuned GPT2 model performs very poorly on token classification task',[],open,2022-01-28T12:42:22Z,
15388,b'Prepare deprecated ONNX exporter for torch v1.11',[],closed,2022-01-28T11:57:23Z,2022-01-28T15:32:47Z
15387,b'Evidentiality-guided Generator - Retrieval model',['New model'],open,2022-01-28T11:46:12Z,
15386,b'Adding a test for hashing tokenizer state.',[],open,2022-01-28T10:37:24Z,
15385,b'Remove use_cache=False in TFxxxForConditionalGeneration',[],open,2022-01-28T09:08:06Z,
15384,"b""Unsupported output type of N11onnxruntime22SequenceTensorTypeBaseE. Can't constant fold SequenceEmpty node 'SequenceEmpty_5330'""",[],open,2022-01-28T07:56:59Z,
15383,b'Validate models are loadable',[],open,2022-01-28T05:50:49Z,
15382,b'Update modeling_blenderbot.py',[],open,2022-01-28T05:30:01Z,
15381,b'Does huggingface allow to perform n-fold cross validation and custom loss function using Hugging face Trainer and save best model?',[],open,2022-01-28T04:21:19Z,
15380,b'[docs] fix wrong file name in `pr_check`',[],closed,2022-01-28T02:22:31Z,2022-01-28T12:52:01Z
15379,b'[WiP] Save code of registered custom models',[],open,2022-01-27T21:05:05Z,
15378,b'Add init to BORT',[],closed,2022-01-27T19:41:36Z,2022-01-27T20:16:55Z
15377,"b""No module named 'transformers.models.bort'""",[],open,2022-01-27T18:42:49Z,
15376,b'Fix tests_fetcher',[],closed,2022-01-27T16:27:03Z,2022-01-27T19:17:49Z
15375,b'Example script for PushToHubCallback',[],closed,2022-01-27T15:56:23Z,2022-01-27T16:16:25Z
15374,b'Add proper documentation for Keras callbacks',[],closed,2022-01-27T15:41:05Z,2022-01-27T15:51:38Z
15373,b'Super-small fix stops us confusing Keras console logging by modifying\xe2\x80\xa6',[],closed,2022-01-27T15:40:20Z,2022-01-27T15:43:43Z
15372,b'Run LayoutXLM without image input not possible',[],closed,2022-01-27T14:40:03Z,2022-01-28T10:40:30Z
15371,b'Add a device argument to the eval script',[],closed,2022-01-27T14:36:56Z,2022-01-27T14:58:55Z
15370,b'Implement fixes for TrainingArguments doc',[],closed,2022-01-27T14:18:57Z,2022-01-27T15:25:43Z
15369,b'Bump numpy from 1.19.2 to 1.21.0 in /examples/research_projects/lxmert',['dependencies'],closed,2022-01-27T13:30:34Z,2022-01-27T19:46:15Z
15368,b'Bump notebook from 6.1.5 to 6.4.1 in /examples/research_projects/visual_bert',['dependencies'],closed,2022-01-27T13:30:22Z,2022-01-27T19:45:58Z
