id,Title,Tag,State,Open Date,Close Date
844,b'scikit-learn compatible meta-estimator',[],open,2022-01-19T22:45:28Z,
843,b'Security issue in required library networkx',[],open,2022-01-19T07:25:28Z,
842,b'Recursion error while sampling from custom expression',[],open,2022-01-14T08:39:30Z,
841,"b""When using RandomForestClassifier with hp.choice, get AttributeError: 'RandomForestClassifier' object has no attribute 'estimators_'""",[],open,2022-01-07T18:00:10Z,
840,"b""Can't hide logs""",[],open,2022-01-03T11:20:53Z,
839,b'Early stopping for SparkTrials',[],open,2021-12-16T22:20:37Z,
838,"b""'numpy.random.mtrand.RandomState' object has no attribute 'integers'""",[],open,2021-12-11T22:40:04Z,
837,b'self.rstate.integers to self.rstate.random_integers',[],closed,2021-12-07T15:13:51Z,2021-12-07T23:29:44Z
836,b'MongoDB error: Unknown option j',[],open,2021-12-07T03:31:09Z,
835,b'hp.choice is sampling with replacement',[],open,2021-12-06T21:21:10Z,
834,"b""Fix for issue 833: incorrect handling of status failed jobs that don't throw an exception""",[],open,2021-11-30T14:23:19Z,
833,"b'Incorrect logging, status_failed trails not counted correctly'",[],open,2021-11-30T11:20:18Z,
832,b'Remove travis and unpin pyspark version in CI',[],closed,2021-11-29T09:53:33Z,2021-11-29T10:20:45Z
831,b'Bump numpy to earliest version that supports Generator',[],closed,2021-11-27T13:22:59Z,2021-11-29T10:21:36Z
830,b'Fix broken spark plugin test',[],closed,2021-11-20T03:55:29Z,2021-11-22T09:00:16Z
829,b'AttributeError with numpy while using HyperoptEstimator',[],open,2021-11-19T05:35:14Z,
828,b'Linke to Adaptive TPE is broken in the doc',[],open,2021-11-17T16:23:31Z,
827,"b'fix black, upgrade version'",[],closed,2021-11-17T09:02:41Z,2021-11-17T10:02:01Z
826,"b""New release 0.2.6 miss component 'py4j'""",[],closed,2021-11-15T12:32:08Z,2021-11-17T10:06:15Z
824,b'DOC missing low parameter in hp.randint',[],closed,2021-11-04T16:56:59Z,2021-11-15T10:13:40Z
823,"b'RandomForestClassifier in search space yields ""object has no attribute \'estimators_\' "" error'",[],open,2021-11-04T11:22:50Z,
822,b'Added clearer instructions for pre-commit hooks',[],closed,2021-10-30T09:34:59Z,2021-11-01T09:27:20Z
821,"b""Use numpy.random's Generator instead of legacy RandomState""",[],closed,2021-10-30T08:39:21Z,2021-11-15T10:15:44Z
820,b'Only use pinned thread mode in Spark 3.2 when explicitly enabled',[],closed,2021-10-28T21:52:44Z,2021-11-15T10:13:08Z
819,b'loguniform is different',[],open,2021-10-25T06:17:25Z,
818,b'Proper way to use search_space',[],open,2021-10-20T12:12:18Z,
817,b'Support for logarithms with different bases',[],open,2021-10-20T11:22:40Z,
816,b'Different results best metric by using hyperopt',[],open,2021-10-11T06:28:28Z,
815,"b""Warning: Unknown argument(s): {'postfix': {'best loss': '?'}}""",[],closed,2021-09-30T08:37:31Z,2021-10-02T04:03:52Z
814,b'Added plot script',[],open,2021-09-27T10:11:39Z,
