id,Title,Tag,State,Open Date,Close Date
1667,b'Update TF to 2.8.0rc1',[],closed,2022-01-24T20:07:35Z,2022-01-24T21:33:49Z
1666,b'clean up',[],closed,2022-01-21T05:56:00Z,2022-01-21T06:08:15Z
1665,b'removing sklearn dependency',[],closed,2022-01-21T00:04:35Z,2022-01-21T01:12:05Z
1664,b'mvoing tests to closer to source files',[],closed,2022-01-20T04:46:29Z,2022-01-20T05:04:57Z
1663,b'when object  detection can be supported',[],open,2022-01-20T04:36:38Z,
1660,b'Tensorflow 2.7',[],open,2022-01-10T05:13:43Z,
1658,b'fix docs of TimeSeriesForecaster',[],open,2021-12-23T15:56:44Z,
1657,b'tf2.8.0rc0',[],closed,2021-12-22T21:05:36Z,2021-12-22T21:24:41Z
1656,b'Initial network generation seems not try different architectures to fit max_model_size ',[],open,2021-12-17T09:50:42Z,
1655,b'Issues using autokeras',[],open,2021-12-17T08:58:09Z,
1654,b'Disable multiple checkpoints',[],open,2021-12-09T22:07:57Z,
1653,b'Bert word embedding out-of-memory',[],open,2021-12-08T08:07:24Z,
1652,b'do not support apple m1 max',[],open,2021-12-02T03:18:44Z,
1651,b'[Question] Using complex custom modalities with AutoKeras',[],open,2021-11-29T23:09:17Z,
1650,b'Big CSV files and reducing RAM requirement',[],open,2021-11-21T10:54:45Z,
1649,b'Is there any way to limit the model search via time?',[],open,2021-11-20T17:01:46Z,
1648,b'Run GitHub Actions daily for all the tests against the latest tf-nightly',['pinned'],closed,2021-11-19T16:29:36Z,2021-12-04T03:56:26Z
1644,"b""[question] autokeras does not initialize: ModuleNotFoundError: No module named 'tensorflow.python.keras.preprocessing'""",[],open,2021-11-08T13:10:39Z,
1643,b'Bayesian hyperparameter tuner with initial hyperparameters defined ',[],open,2021-11-08T10:40:11Z,
1642,b'Cannot set dropout rate in custom AutoModel',[],open,2021-10-27T15:07:13Z,
1641,b'TimeSeriesForecaster: Predict function returns ValueError',[],open,2021-10-23T17:37:02Z,
1640,b'Adapt to KerasTuner 1.1.0',[],closed,2021-10-20T04:35:29Z,2021-10-20T06:34:59Z
1639,b'Custom Preprocessing',[],open,2021-10-17T08:46:46Z,
1638,"b'Autokeras timeseries_forecaster official  Tutorial : Colab script works with CPU, but not with GPU : CudnnRNN ""Fail to find the dnn implementation.""'",[],open,2021-10-13T10:25:42Z,
1637,"b'Implementing of Image Clustering, especially Deep Clustering'",[],open,2021-10-12T14:52:37Z,
1636,b'How to change batch size in autokeras?',[],open,2021-10-12T02:21:03Z,
1635,b'How to use this code to train the detection model to complete NAS \xef\xbc\x9f',[],open,2021-10-09T12:37:24Z,
1634,b'Adapt to tf-nightly',[],closed,2021-10-07T22:17:24Z,2021-10-18T08:42:42Z
1633,"b""Can't reproduce the example in the docs""",[],open,2021-10-07T21:48:56Z,
1632,b'Return History of Attempts/Experiments/Hyperparameters',[],open,2021-10-04T19:08:33Z,
