id,Title,Tag,State,Open Date,Close Date
4987,b'Shifting to Serial Tree Learner Despite Having multiple workers',[],open,2022-01-28T12:58:16Z,
4986,b'test1',[],closed,2022-01-27T09:15:28Z,2022-01-27T09:24:00Z
4985,b'Pass train dataset parser config to valid dataset loading parser',[],open,2022-01-26T13:12:34Z,
4984,b'Use `delete[]` where appropriate instead of `delete`',['fix'],open,2022-01-26T03:10:39Z,
4983,b'`delete` incorrectly applied on some allocations from `new[]`',[],open,2022-01-26T03:05:34Z,
4982,b'[R-package] Add missing prediction functions to R interface',[],open,2022-01-26T02:05:59Z,
4981,"b""[python-package] Custom multiclass loss function doesn't work""",['question'],closed,2022-01-26T01:55:01Z,2022-01-27T23:16:56Z
4980,b'`LGBM_BoosterPredictForCSRSingleRowFastInit` behavior differs from documentation',[],open,2022-01-26T00:14:16Z,
4979,b'Correct documentation for sparse predictions',['doc'],open,2022-01-25T20:44:17Z,
4978,b'[tests][python] remove compatibility code for old versions in tests',"['awaiting review', 'maintenance']",open,2022-01-23T19:54:12Z,
4977,b'[R-package] Keep row names in output from `predict`',[],open,2022-01-23T19:24:04Z,
4976,b'[R-package] Promote objective and init_score to top-level arguments in `lightgbm()`',[],open,2022-01-23T18:36:59Z,
4975,b'[R-package] Rename `weight` -> `weights`',[],open,2022-01-23T18:12:39Z,
4974,b'[R-package] Do not produce a model file in disk by default',[],open,2022-01-23T17:50:57Z,
4973,b'[R-package] Rename `data` -> `newdata` in `predict`',[],open,2022-01-23T17:37:16Z,
4972,"b""[R-package] Promote number of threads to top-level argument in `lightgbm()` and make default match with Python's""",[],open,2022-01-23T17:18:58Z,
4971,b'[R-package] Change default for `reshape` argument in `predict`',[],open,2022-01-23T16:40:39Z,
4970,b'[R-package] Add base-1 indexing option for prediction outputs',[],open,2022-01-23T16:21:42Z,
4969,b'Count number of leaves in the final ensemble',['question'],closed,2022-01-23T11:32:33Z,2022-01-23T14:16:04Z
4968,b'[R-package] User-friendly redesign for `lightgbm()`',['breaking'],open,2022-01-23T00:48:30Z,
4967,b'[ci] bump CUDA version from `11.5.0` to `11.5.1` at CI',['maintenance'],closed,2022-01-22T22:42:35Z,2022-01-23T12:39:42Z
4966,b'[R-package] Cannot pass CSR single-row for prediction',"['feature request', 'r-package']",closed,2022-01-22T02:03:53Z,2022-01-22T22:07:06Z
4965,"b""[python] Reusing dataset constructed with free_raw_data = True isn't possible. Intended behaviour?""",['question'],open,2022-01-21T18:16:19Z,
4964,b'Target and Count encodings for categorical features - Iteration 1',[],open,2022-01-21T09:12:01Z,
4963,b'CUDATreeLearner: free GPU memory in destructor if any allocated',"['awaiting review', 'fix']",open,2022-01-20T20:51:17Z,
4962,b'[New idea - Feature Request] an option to exclude features from sampling ',[],open,2022-01-19T22:42:28Z,
4961,b'10% CPU when training large dataset',['r-package'],open,2022-01-19T11:32:33Z,
4960,b'[dask] Binding Port Failed when Using the Machines Parameter',['dask'],open,2022-01-19T05:42:30Z,
4959,b'[docs] clarify that categorical features will be converted to integers internally',['doc'],open,2022-01-18T22:37:22Z,
4958,"b""[python] scikit-learn FutureWarning: 'requires_y' tag""",['maintenance'],open,2022-01-18T04:02:07Z,
