id,Title,Tag,State,Open Date,Close Date
4519,b'failed to use annotation',[],open,2022-01-28T08:21:38Z,
4518,b'when i use AGPPruner',[],open,2022-01-28T06:34:31Z,
4517,b'[Doc Refactor] update index.rst',[],closed,2022-01-27T09:36:45Z,2022-01-27T09:36:53Z
4516,b'[Doc Refactor] Del contents',[],closed,2022-01-27T07:42:16Z,2022-01-27T07:42:30Z
4515,b'[Doc Refactor] Merge from Master',[],closed,2022-01-27T05:58:36Z,2022-01-27T07:44:46Z
4514,b'mnist-pytorch error',[],open,2022-01-26T14:27:56Z,
4513,b'[webui] update dev doc ',[],open,2022-01-26T07:10:00Z,
4512,b'[Model Compression] attention mode',[],open,2022-01-26T06:24:24Z,
4511,b'[bug fix] Experiment list could not open experiment with prefix ',[],closed,2022-01-26T02:29:05Z,2022-01-27T02:08:19Z
4510,b'Refactor NNI manager globals (step 1) - argparse',[],open,2022-01-25T19:23:39Z,
4509,b'End-to-end example for DARTS',[],open,2022-01-25T09:05:57Z,
4508,b'Bump numpy from 1.14.3 to 1.21.0 in /nni/algorithms/feature_engineering/gradient_selector',"['dependencies', 'python']",closed,2022-01-25T06:02:49Z,2022-01-26T02:37:34Z
4507,b'fix TrialsDetail className typo',[],closed,2022-01-25T05:46:21Z,2022-01-26T02:44:23Z
4506,b'HPO: DLC mode support nas&oss at same time',[],open,2022-01-25T00:35:12Z,
4505,b'TypeError: forward() takes 2 positional arguments but 5 were given  \xe5\x9c\xa8\xe4\xbd\xbf\xe7\x94\xa8m_speedup.speedup_model()\xe6\xa8\xa1\xe5\x9e\x8b\xe5\x8a\xa0\xe9\x80\x9f\xe6\x97\xb6',[],open,2022-01-24T13:39:27Z,
4504,b'integrate with Lightning ecosystem CI',[],open,2022-01-24T10:55:42Z,
4503,b'[pipeline] Add a variable to toggle cache',[],closed,2022-01-24T09:40:12Z,2022-01-25T04:32:42Z
4502,b'[Doc Refactor] rename camel case to snake case',[],closed,2022-01-24T07:13:00Z,2022-01-24T07:15:36Z
4501,b'[Doc Refactor] Preparation',[],closed,2022-01-24T06:52:53Z,2022-01-24T06:53:53Z
4500,b'Prettify docs',[],closed,2022-01-24T06:20:38Z,2022-01-27T04:31:04Z
4499,b'Log mechanism discussion',[],open,2022-01-24T04:16:15Z,
4498,b'Bump node-fetch from 2.6.1 to 2.6.7 in /ts/jupyter_extension',"['dependencies', 'javascript']",closed,2022-01-24T02:38:36Z,2022-01-27T05:42:41Z
4497,b'Refactor initialization and arg parsing of NNI manager',[],open,2022-01-23T21:12:37Z,
4496,b'Enable development build for webui',[],closed,2022-01-22T13:42:03Z,2022-01-25T06:02:10Z
4495,b'[pipeline] More aggressive cache',[],closed,2022-01-22T10:04:51Z,2022-01-24T07:51:35Z
4494,b'Bump nanoid from 3.1.23 to 3.2.0 in /ts/jupyter_extension',"['dependencies', 'javascript']",closed,2022-01-22T05:32:36Z,2022-01-24T02:38:00Z
4493,b'Bump nanoid from 3.1.30 to 3.2.0 in /ts/webui',"['dependencies', 'javascript']",closed,2022-01-22T04:51:55Z,2022-01-24T02:38:42Z
4492,b'[Model Compression] Add replace module',[],open,2022-01-21T10:22:03Z,
4491,"b""can't run examples/mnist-pytorch/config_detailed.yml""",[],open,2022-01-21T09:38:33Z,
4490,b'Bump numpy from 1.18.5 to 1.21.0 in /examples/trials/network_morphism',"['dependencies', 'python']",closed,2022-01-20T20:29:09Z,2022-01-21T08:37:12Z
