id,Title,Tag,State,Open Date,Close Date
5330,b'[BUG] MLFlow + Wasabi + Prophet not working',"['bug', 'area/artifacts', 'area/models', 'area/tracking', 'area/docker']",open,2022-01-28T11:28:18Z,
5329,b'Scikit-Learn - Made the autolog model serialization format configurable',"['rn/none', 'area/tracking']",closed,2022-01-28T03:17:22Z,2022-01-28T04:34:44Z
5328,b'Fix contour plot',"['rn/none', 'area/uiux', 'area/tracking']",closed,2022-01-28T00:08:55Z,2022-01-28T08:48:07Z
5327,b'[FR] Allow `stage` as version value in `set_model_version_tag`',"['enhancement', 'area/model-registry']",open,2022-01-27T10:27:15Z,
5326,b'Update `pd.read_json` to pass string type arguments',"['rn/none', 'area/tracking', 'enable-dev-tests']",closed,2022-01-27T09:02:43Z,2022-01-28T01:45:26Z
5325,b'[ALL TESTS] Update ',[],closed,2022-01-27T03:34:57Z,2022-01-27T04:40:31Z
5324,b'[ALL TESTS] Update ',[],closed,2022-01-27T03:27:59Z,2022-01-27T03:29:54Z
5323,b'[ALL TESTS] Update ',[],closed,2022-01-27T02:47:00Z,2022-01-27T03:24:22Z
5322,b'[ALL TESTS] Update ',[],closed,2022-01-27T02:42:57Z,2022-01-27T03:22:59Z
5321,b'Refresh R cache',['rn/none'],closed,2022-01-27T00:16:20Z,2022-01-27T01:46:45Z
5320,b'Add docs for artifact proxy',"['area/docs', 'rn/documentation']",open,2022-01-26T17:10:40Z,
5319,b'Test',['enable-dev-tests'],closed,2022-01-26T14:06:06Z,2022-01-28T08:38:13Z
5318,b'Test',[],closed,2022-01-26T14:04:24Z,2022-01-26T14:05:00Z
5317,b'onnxruntime InferenceSession fix to bug #5308',"['rn/bug-fix', 'area/models', 'area/scoring', 'integrations/azure', 'integrations/sagemaker', 'integrations/databricks']",open,2022-01-26T11:47:59Z,
5316,b'Onnxruntime inference session fix for #5308',"['rn/bug-fix', 'area/models', 'area/scoring', 'integrations/azure']",closed,2022-01-26T11:31:43Z,2022-01-26T11:36:53Z
5315,b'Fix spark ML integration test failure',"['rn/none', 'area/tracking']",closed,2022-01-26T09:32:25Z,2022-01-26T13:16:21Z
5314,b'Install h2o for python from conda-forge',['rn/none'],closed,2022-01-26T03:35:20Z,2022-01-26T07:51:45Z
5313,b'Run `apt-get update` before installing `libopenblas-dev`',['rn/none'],closed,2022-01-26T03:29:02Z,2022-01-26T08:01:30Z
5312,b'Fix the bug of stages in models URI being case-sensitive',"['rn/bug-fix', 'area/model-registry', 'area/sqlalchemy']",closed,2022-01-26T02:08:14Z,2022-01-26T19:48:07Z
5311,b'[BUG] referencing models by stage using models URI suddenly became case sensitive',"['bug', 'area/model-registry', 'area/sqlalchemy']",closed,2022-01-26T01:08:29Z,2022-01-26T19:48:06Z
5310,b'Improve run compare ui',"['rn/none', 'area/examples', 'area/tracking']",closed,2022-01-26T00:15:00Z,2022-01-28T03:37:15Z
5309,b'Enable plugin approach to enable default experiments framework',"['rn/none', 'area/tracking']",open,2022-01-25T17:24:52Z,
5308,b'[BUG] ONNX deployment on AzureML not working with onnxruntime > v1.9.0',"['bug', 'area/artifacts', 'area/model-registry', 'area/models', 'area/scoring', 'integrations/azure', 'integrations/sagemaker', 'integrations/databricks']",open,2022-01-25T12:33:47Z,
5307,b'Update UI',['rn/feature'],closed,2022-01-25T09:14:00Z,2022-01-27T10:11:05Z
5306,b'Condense run comparison table',"['rn/feature', 'area/tracking']",open,2022-01-25T00:55:15Z,
5305,b'Fix lint issues',"['rn/none', 'area/build']",closed,2022-01-25T00:34:36Z,2022-01-25T02:14:46Z
5304,b'Remove unused num_examples var from model eval example',"['area/docs', 'rn/none']",closed,2022-01-24T16:46:17Z,2022-01-25T22:26:34Z
5303,b'Use mkstemp to replace deprecated mktemp call',"['rn/none', 'area/projects']",closed,2022-01-24T16:42:06Z,2022-01-26T23:59:24Z
5302,"b""Fix typo 'classifer' to 'classifier'""",['rn/none'],closed,2022-01-24T12:37:46Z,2022-01-24T16:41:08Z
5301,b'Running MLprojects using old commit [BUG]',"['bug', 'area/projects']",open,2022-01-24T09:43:49Z,
