id,Title,Tag,State,Open Date,Close Date
3139,b'added check for input data value',"['s: needs review', 'c: methods', 't: added feature']",closed,2022-01-24T14:29:21Z,2022-01-28T12:34:13Z
3138,b'getting all class prediction with probability score for classification model like random forest',"['t: bug report', 's: stale', 'c: documentation']",open,2022-01-24T08:33:23Z,
3137,b'Added Simple Exponential Smoothing model for time series ',"['s: needs review', 'c: methods']",open,2022-01-20T09:11:36Z,
3136,b'adding sample examples for adaptive layers',"['s: needs review', 'c: testing']",closed,2022-01-17T18:13:07Z,2022-01-28T13:51:07Z
3135,b'Instance Norm',"['c: methods', 't: added feature']",open,2022-01-17T17:04:35Z,
3134,b'Upgrade Catch to 2.13.8',"['automated PR', 'update dependencies']",closed,2022-01-17T10:02:36Z,2022-01-17T21:03:29Z
3133,b'Subset Selection on data',[],open,2022-01-16T15:50:55Z,
3132,b'Removing Remaining Boost',[],open,2022-01-15T15:40:45Z,
3131,b'Replaced `mlpack/bindings/markdown/print_docs.cpp` boost::replace_all_copy() with custom function',"['s: needs review', 's: unanswered', 's: unlabeled']",closed,2022-01-15T12:33:03Z,2022-01-15T13:08:16Z
3130,b'Added checks for relative input shapes in linear regression and k means clustering',"['s: needs review', 'c: binding', 'c: methods', 't: added feature']",open,2022-01-15T10:00:28Z,
3129,b'Upgrade Boost Version in CMake script.',"['s: needs review', 'automated PR', 'update dependencies']",closed,2022-01-11T10:05:00Z,2022-01-12T19:44:22Z
3128,b'move and copy constructor for pooling layers',"['s: needs review', 'c: methods', 't: added feature']",closed,2022-01-10T08:03:41Z,2022-01-28T13:50:26Z
3127,b'incompatible matrix dimensions while training random forest algorithm',['t: bug report'],closed,2022-01-07T08:21:41Z,2022-01-24T17:11:25Z
3126,b'Numpy Deprecated Code Replacement',['c: automatic bindings'],closed,2022-01-04T18:17:17Z,2022-01-18T21:52:07Z
3125,b'Padding Layer Unitialized Warning',['c: methods'],closed,2022-01-04T17:44:08Z,2022-01-13T16:47:47Z
3124,b'MacOS CI Fix',"['c: build system', 't: bugfix']",closed,2022-01-04T17:39:38Z,2022-01-07T13:48:54Z
3123,"b""input_labels parameter in preprocess_split function can't be empty""","['t: bug report', 'c: binding']",open,2022-01-04T08:16:50Z,
3122,b'Update ANN parameter access documentation',"['c: documentation', 't: bugfix']",closed,2022-01-03T22:00:20Z,2022-01-05T17:18:02Z
3121,b'No lib sub folder in Boost folder',"['t: question', 'help wanted', 's: unanswered']",closed,2022-01-02T22:53:50Z,2022-01-03T18:59:59Z
3120,b'Fix Boost Update Action',['t: bugfix'],closed,2022-01-02T21:18:37Z,2022-01-10T13:43:04Z
3119,b'Randomized ReLU Activation Function',"['s: needs review', 'c: methods', 't: added feature']",open,2022-01-01T18:06:51Z,
3118,b'LayerNorm copy and move constructor created',"['s: needs review', 't: added feature']",open,2022-01-01T15:28:36Z,
3117,b'Documentation for setting PATH variables for Python bindings in incomplete',"['t: bug report', 'c: documentation', 's: unanswered']",closed,2021-12-31T15:31:48Z,2022-01-24T04:01:37Z
3116,b'CI Fix',"['s: needs review', 'c: build system']",closed,2021-12-30T09:43:02Z,2022-01-05T16:31:13Z
3115,b'PReLU Hotfix',"['c: methods', 't: bugfix']",closed,2021-12-29T07:26:13Z,2022-01-01T17:22:21Z
3114,b'Implementation of Threshold Activation Fn Done',"['s: needs review', 'c: methods', 't: added feature']",open,2021-12-29T06:51:19Z,
3113,b'A loaded model with PReLU does not produce expected predictions',['t: bug report'],open,2021-12-27T09:25:50Z,
3112,b'add implementation of ISRU activation function',"['s: stale', 's: needs review', 'c: methods', 't: added feature']",open,2021-12-25T18:51:11Z,
3111,b'Fruit Tree Navigation Task',"['c: methods', 't: added feature']",closed,2021-12-25T11:35:12Z,2022-01-10T17:43:00Z
3110,b'Batch size modification not working',"['t: question', 'c: methods']",closed,2021-12-18T16:19:30Z,2021-12-28T16:07:47Z
