id,Title,Tag,State,Open Date,Close Date
21534,b'GAPI FLUID: Enable dynamic dispatching for Merge4 kernel',"['optimization', 'category: g-api / gapi']",open,2022-01-28T12:26:46Z,
21533,b'GAPI: Change comparison function for DivC GPU test',"['test', 'category: g-api / gapi']",closed,2022-01-28T11:08:16Z,2022-01-28T13:12:09Z
21532,"b""QRCodeDetector - Seed point is outside of image in function 'cv::floodFill'""","['bug', 'category: objdetect']",open,2022-01-28T09:26:04Z,
21531,b'Support downloading 3rdparty resources from Gitcode & Gitlab-style mirrors',[],open,2022-01-28T08:42:28Z,
21530,b'GAPI Fluid: SIMD for DivRC kernel.',"['optimization', 'category: g-api / gapi']",open,2022-01-28T00:18:31Z,
21529,b'GAPI FLUID: Enable dynamic dispatching for Merge3',"['optimization', 'category: g-api / gapi']",open,2022-01-27T21:02:19Z,
21528,b'fix for confusing Assertion in imshow ',['category: highgui-gui'],closed,2022-01-27T19:51:57Z,2022-01-28T12:52:36Z
21527,b'Fix wrong MSAN errors.',['category: core'],closed,2022-01-27T12:09:12Z,2022-01-28T15:35:47Z
21526,b'segfault during compilation of essential_solver.cpp  (from calib3d )',"['bug', 'category: build/install', 'category: calib3d', 'incomplete', 'platform: arm', 'category: 3rdparty']",open,2022-01-27T10:37:05Z,
21525,b'fix: wrong reference counter after module initialization',"['bug', 'category: python bindings']",closed,2022-01-27T09:09:11Z,2022-01-27T10:15:34Z
21524,b'Unable to Compile GAPI Code returning contours from cv::gapi::findContours',"['question (invalid tracker)', 'category: g-api / gapi']",closed,2022-01-27T01:47:22Z,2022-01-27T22:29:06Z
21522,b'Fix LSTM support in ONNX',"['bug', 'pr: needs test', 'category: dnn (onnx)']",open,2022-01-26T12:32:33Z,
21521,b'dnn: apply hint to ignore denormals processing',"['feature', 'category: dnn']",closed,2022-01-26T11:32:44Z,2022-01-28T15:32:12Z
21520,b'GAPI FLUID: Enable dynamic dispatching for Split4',[],open,2022-01-26T10:38:37Z,
21519,"b""Yolov4 onnx model can not be infered using opencv dnn (Different shapes case is not supported with constant inputs: Mul in function 'parseMul' )""","['feature', 'category: dnn', 'category: dnn (onnx)']",open,2022-01-26T10:03:44Z,
21518,b'Add resize layer compatible with ONNX opset13 version',"['test', 'feature', 'category: dnn']",closed,2022-01-26T09:00:19Z,2022-01-28T14:55:01Z
21517,"b""cmake: don't force -Werror=...""",['category: build/install'],closed,2022-01-26T04:42:11Z,2022-01-26T17:52:13Z
21516,"b""cv2.error: OpenCV(4.5.4-pre) /home/pi/opencv/modules/core/src/persistence.cpp:682: error: (-5:Bad argument) Input file is invalid in function 'open'""","['invalid', 'question (invalid tracker)']",open,2022-01-26T03:41:00Z,
21515,"b'Traceback (most recent call last):  File ""f:\\Jarvis\\Sample genarator.py"", line 19, in <module>    faces = detector.detectMultiScale(converted_image, 1.3, 5)cv2.error: OpenCV(4.5.5) D:\\a\\opencv-python\\opencv-python\\opencv\\modules\\objdetect\\src\\cascadedetect.cpp:1689: error: (-215:Assertion failed) !empty() in function \'cv::CascadeClassifier::detectMultiScale\''",['question (invalid tracker)'],open,2022-01-25T16:33:03Z,
21514,b'Fix VSX detection on FreeBSD',"['bug', 'category: core', 'category: build/install', 'platform: ppc (PowerPC)']",closed,2022-01-25T13:48:25Z,2022-01-25T18:44:44Z
21513,b'Fix VSX detection on FreeBSD',"['bug', 'category: core', 'category: build/install', 'platform: ppc (PowerPC)']",closed,2022-01-25T12:45:45Z,2022-01-25T13:47:13Z
21512,b'Fix undefined behavior in line drawing.',"['bug', 'category: imgproc']",closed,2022-01-25T10:41:07Z,2022-01-25T13:43:11Z
21511,b'G-API media format gray',[],open,2022-01-25T10:25:48Z,
21510,b'PyTorch->ONNX inference multi-batch error',"['bug', 'category: dnn']",open,2022-01-25T06:46:52Z,
21509,b'How to confirm the version of the OpenCV 3rdParty libs',['question (invalid tracker)'],closed,2022-01-25T01:51:01Z,2022-01-25T03:31:48Z
21508,b'android: set all zlib variables used by downstream packages',[],open,2022-01-24T13:10:46Z,
21507,b'Android build with external libpng is bogus',"['priority: low', 'category: build/install', 'platform: android']",open,2022-01-24T13:09:57Z,
21506,b'core: FP denormals support',"['test', 'feature', 'category: core']",closed,2022-01-24T10:48:13Z,2022-01-26T08:53:52Z
21505,b'Disable -Wreturn-type-c-linkage under clang-cl',"['category: build/install', 'platform: win32']",closed,2022-01-24T08:24:42Z,2022-01-24T12:36:01Z
21504,b'[WIP] [GAPI] Support basic inference in OAK backend',[],open,2022-01-24T08:17:53Z,
