id,Title,Tag,State,Open Date,Close Date
2098,b'how can show all rows during setup to confirm if all features type been identify correct',['enhancement'],open,2022-01-27T08:38:52Z,
2097,b'Bugfix for displaying inferred datatypes',[],open,2022-01-26T15:48:29Z,
2096,b'Add Support for Multivariate Time Series',"['enhancement', 'time_series', 'backlog', 'multivariate']",open,2022-01-26T11:38:50Z,
2095,"b'cleaned up 101, added new features and reran'","['time_series', 'release']",closed,2022-01-26T11:25:14Z,2022-01-26T13:59:34Z
2094,b'Adding multivariable time series dataset from UCI',"['time_series', 'dataset']",closed,2022-01-26T04:14:46Z,2022-01-26T14:38:09Z
2093,b'Adding multivariable time series dataset from UCI',[],closed,2022-01-26T04:08:40Z,2022-01-26T04:09:17Z
2092,b'Output all scores in predict_model',['enhancement'],open,2022-01-26T02:56:56Z,
2091,b'Bugfix for displaying inferred datatypes',[],closed,2022-01-25T16:57:16Z,2022-01-26T13:24:30Z
2088,b'[BUG] Problem... with drift...',"['bug', 'drift']",closed,2022-01-24T17:28:39Z,2022-01-25T23:33:10Z
2087,b'fix for COV_PROB metric',"['time_series', 'metrics']",closed,2022-01-22T11:45:14Z,2022-01-22T13:56:56Z
2086,b'Enhance Time Series Difference Plots - Closes #1654',"['time_series', 'plots']",closed,2022-01-22T11:29:28Z,2022-01-22T16:07:59Z
2085,b'[BUG] Pycaret 2.3.6 Evidently Not working for drift_report=True',"['bug', 'drift']",closed,2022-01-21T22:16:09Z,2022-01-26T16:55:06Z
2083,b'NameError: stats_check() function',"['time_series', 'stats']",closed,2022-01-20T21:54:31Z,2022-01-21T15:09:52Z
2082,b'[BUG]EDA error',['bug'],closed,2022-01-20T15:41:11Z,2022-01-23T03:41:19Z
2081,b'[BUG]dashboard error',['bug'],closed,2022-01-20T15:39:46Z,2022-01-23T03:41:34Z
2080,b'[BUG]  finalized model and baseline model with same .coeff_ ?',['bug'],open,2022-01-20T14:21:51Z,
2079,"b""AttributeError: 'numpy.ndarray' object has no attribute 'columns'""",['bug'],open,2022-01-20T11:11:27Z,
2078,b'ValueError: Number of features of the model must match the input.',['bug'],open,2022-01-19T21:00:37Z,
2076,b'Fix for short time series - recommended_D test failure  closes #2068',"['bug', 'time_series', 'setup']",closed,2022-01-19T20:25:27Z,2022-01-21T22:54:48Z
2075,b'[BUG] Tune_Model is Broken',['invalid'],closed,2022-01-19T04:00:09Z,2022-01-19T14:20:25Z
2071,b'Multiple classification models in pycaret',"['enhancement', 'priority_low']",open,2022-01-18T06:50:59Z,
2068,b'[BUG] Timeseries Setup fails with some datasets',"['bug', 'time_series', 'setup']",closed,2022-01-17T04:50:35Z,2022-01-22T15:26:17Z
2067,"b'No model results for `compare_models()` in regression, while applying `transform_target`'",['bug'],closed,2022-01-16T21:16:36Z,2022-01-19T15:37:12Z
2066,b'Changed name INPI to Cov_Prob',"['time_series', 'metrics']",closed,2022-01-16T11:42:33Z,2022-01-19T15:13:55Z
2065,b'[Forecasting] Add setup argument for `alpha` that is used in the rest of the methods',"['enhancement', 'good first issue', 'time_series', 'setup']",open,2022-01-16T03:50:59Z,
2064,b'Support for univariate forecasting with exogenous variables',"['time_series', 'multivariate']",open,2022-01-16T03:41:53Z,
2063,b'bug resolving for drift report of categorical columns',['drift'],closed,2022-01-15T17:36:24Z,2022-01-25T16:50:22Z
2062,b'added docstring for check_stats',[],closed,2022-01-15T15:43:26Z,2022-01-16T15:33:56Z
2059,b'[BUG] drift report error',"['bug', 'drift']",closed,2022-01-14T20:41:32Z,2022-01-26T22:17:34Z
2058,b'Replace unsupported characters in df',[],closed,2022-01-14T20:13:25Z,2022-01-15T15:06:44Z
