id,Title,Tag,State,Open Date,Close Date
21956,b'Make a `list_jobs` API',[],open,2022-01-28T17:29:00Z,
21955,b'[Release 1.11 Cherrypick] [e2e] do not terminate in `serve_failure` smoke test',['1.11.0rc0-pick'],open,2022-01-28T17:22:07Z,
21954,b'[RLlib][Feature] Tensorboard image logging',['enhancement'],open,2022-01-28T15:19:45Z,
21953,"b""Ensure inital scaleup with high upscaling_speed isn't limited.""",[],open,2022-01-28T12:52:55Z,
21952,b'[runtime env] pip-based runtime env refactor',['enhancement'],open,2022-01-28T12:44:09Z,
21951,"b'[RLlib] Deterministic training test for off-policy, buffer-utilizing (DQN) algo.'",[],open,2022-01-28T11:36:24Z,
21950,b'[runtiime env] Use coroutine to create runtime envs in `runtime_env_agent`',['enhancement'],open,2022-01-28T10:03:31Z,
21949,b'move bandit examples into examples folder',[],open,2022-01-28T08:28:50Z,
21948,b'request cpu resources if using dataset input.',[],open,2022-01-28T07:47:54Z,
21947,b'[Core][nightly-test] add check on shape',[],open,2022-01-28T07:40:26Z,
21946,b'[donotmerge] Pull objects up to a max fraction of the object store',[],open,2022-01-28T05:37:20Z,
21945,b'[Bug][UT] fix python case `test_object_assign_owner` never run',[],open,2022-01-28T05:31:38Z,
21944,b'[Release 1.11.0rc0 Cherrypick] fix pip_download_test.sh',"['@tests-ok', '1.11.0rc0-pick']",closed,2022-01-28T01:27:18Z,2022-01-28T06:30:28Z
21943,"b'[Release 1.11.0rc0 Cherrypick] [ci/release] Increase step timeout in long running tests, fix artifacts copy'","['@tests-ok', '1.11.0rc0-pick']",closed,2022-01-28T01:24:26Z,2022-01-28T06:30:44Z
21942,b'[Release 1.11.0rc0 Cherrypick] update supported dask version',['1.11.0rc0-pick'],closed,2022-01-28T01:21:04Z,2022-01-28T06:29:52Z
21941,b'[Bug] ray.wait hangs when objects need to be restored',"['bug', 'triage']",open,2022-01-28T01:18:12Z,
21940,b'Wf cli',[],open,2022-01-27T23:48:48Z,
21939,b'[WIP] Optimize dataset metadata read/write nicely in Ray client',[],open,2022-01-27T22:47:44Z,
21938,b'[jobs] Fix restarting local ray cluster with http ray address broke local job submission',[],open,2022-01-27T22:38:53Z,
21937,b'[Datasets] [Docs] Fix bug in Datasets locality-aware splitting example',[],closed,2022-01-27T22:14:53Z,2022-01-27T22:46:05Z
21936,b'[Bug] Env variables are undocumented: AUTOSCALER_MAX_LAUNCH_BATCH AUTOSCALER_MAX_CONCURRENT_LAUNCHE',"['bug', 'P1']",open,2022-01-27T20:23:58Z,
21935,b'[Feature] Migrate runtime_env tests to use mock s3 rather than real bucket',"['enhancement', 'P1']",open,2022-01-27T18:20:15Z,
21934,b'[Train] Add support for Bagua',"['enhancement', 'train']",open,2022-01-27T18:16:42Z,
21933,b'[Doc] update dask version for Ray 1.11.0',['@tests-ok'],closed,2022-01-27T16:53:28Z,2022-01-27T21:15:02Z
21932,b'[RLlib] Some more `bandit` cleanup/tests.',[],closed,2022-01-27T13:17:01Z,2022-01-28T11:03:26Z
21931,b'[Docs] Ray Data docs target state',[],closed,2022-01-27T11:53:31Z,2022-01-27T21:14:36Z
21930,"b'[event] redefine  ""SetCustomFields"" to ""UpdateCustomFields""'",[],closed,2022-01-27T11:39:24Z,2022-01-28T03:54:44Z
21929,b'[resource-reporting 4/n][wip] cluster-resource-manage agnostic of local_node_id',[],open,2022-01-27T09:27:42Z,
21928,b'[Bug] PolicyServerInput memory leak',"['bug', 'triage']",open,2022-01-27T08:46:14Z,
21927,b'[resource-reporting 3/n] further clean up LocalResourceManager',['do-not-merge'],closed,2022-01-27T07:53:52Z,2022-01-28T09:50:54Z
