id,Title,Tag,State,Open Date,Close Date
22322,b'MAINT add link to blog and tiktok',[],open,2022-01-28T16:57:51Z,
22321,b'add link to blog',['Documentation'],open,2022-01-28T15:55:45Z,
22320,b'ENH Introduce `PairwiseDistancesRadiusNeighborhood`',"['module:metrics', 'module:utils', 'No Changelog Needed', 'cython']",open,2022-01-28T14:27:41Z,
22319,b'DOC clarify fit of the models with/without sample weights',['Documentation'],closed,2022-01-28T14:07:35Z,2022-01-28T14:35:11Z
22318,b'FIX skip tests when estimator has non_deterministic tag',['module:utils'],open,2022-01-28T06:46:59Z,
22315,b'[NO MRG] CI Use windows-2022 [cd build]',['Build / CI'],closed,2022-01-27T20:39:40Z,2022-01-27T21:56:51Z
22314,b'TST Improved testing logic in `tests/test_logistic.py`',['module:linear_model'],open,2022-01-27T18:57:51Z,
22313,"b""check_estimator running tests which shouldn't run when non_deterministic: True""","['Easy', 'help wanted']",open,2022-01-27T13:06:23Z,
22312,"b""[WIP] Fix LocalOutlierFactor exposes methods that it shouldn't""",['module:neighbors'],open,2022-01-27T12:08:58Z,
22311,b'MAINT using pytest-xdist and pin coverage to 6.2',['Build / CI'],closed,2022-01-27T09:17:58Z,2022-01-27T10:01:58Z
22310,b'Random Windows wheel build error: failed with exit status 1158',['Build / CI'],open,2022-01-27T08:59:25Z,
22309,b'MAINT enable verbose pytest on Azure to debug #MercuryRetrograde stalled builds',['Build / CI'],closed,2022-01-27T08:51:04Z,2022-01-27T09:57:13Z
22308,b'Circle CI doc upload fails after warning on large files',['Build / CI'],closed,2022-01-27T08:38:22Z,2022-01-27T08:53:58Z
22307,b'DOC make a doctest more stable in MultiOutputClassifier',"['Documentation', 'No Changelog Needed', 'Quick Review']",closed,2022-01-26T17:05:40Z,2022-01-26T18:19:43Z
22306,"b'MAINT Follow-up on a fix for criterion=""poisson"" in decision trees'","['Documentation', 'module:tree', 'No Changelog Needed', 'maintenance', 'Quick Review']",closed,2022-01-26T14:15:04Z,2022-01-26T18:20:10Z
22305,b'MNT Add validation for parameter alphas in `LassoCV`',"['module:linear_model', 'No Changelog Needed']",open,2022-01-26T11:15:28Z,
22304,b'DOC fix cache argument documentation in fetch_openml',"['Documentation', 'module:datasets']",closed,2022-01-26T10:39:01Z,2022-01-26T13:56:00Z
22303,b'ExtraTreesRegressor prediction is not reproducible',['Needs Triage'],closed,2022-01-26T00:07:01Z,2022-01-26T13:49:56Z
22302,b'MAINT Fix check_scalar error in trees',['module:tree'],closed,2022-01-25T19:42:18Z,2022-01-26T18:16:12Z
22301,"b""Wrong 'cache' argument description in sklearn.datasets.fetch_openml doc""",['Documentation'],closed,2022-01-25T18:57:48Z,2022-01-26T13:56:00Z
22300,b'BUG Fixes division by zero in PCA `get_precision`',"['module:decomposition', 'Quick Review']",closed,2022-01-25T16:59:29Z,2022-01-27T13:34:04Z
22293,b'DOC Adjust class style to match previous style',['Documentation'],closed,2022-01-25T04:04:35Z,2022-01-27T08:57:57Z
22292,b'MAINT pin numpydoc in arm for now',[],closed,2022-01-25T03:13:55Z,2022-01-25T03:43:34Z
22291,b'GridSearchCV multiprocess (n_jobs=-1) high verbose not working in Jupyter notebook',[],closed,2022-01-25T01:49:15Z,2022-01-26T10:07:29Z
22290,b'DOC Fix selection of parameter names in documentation',['Documentation'],closed,2022-01-25T01:19:16Z,2022-01-25T03:51:25Z
22289,b'Add Lasso regularization to PoissonRegressor',"['New Feature', 'module:linear_model']",closed,2022-01-24T22:41:24Z,2022-01-27T19:44:55Z
22288,b'MAINT Plug `PairwiseDistancesArgKmin` as a back-end',"['module:metrics', 'module:neighbors', 'module:utils', 'No Changelog Needed', 'cython']",open,2022-01-24T20:31:42Z,
22287,b'MAINT Adjust tests for numpydoc 1.2',"['module:utils', 'No Changelog Needed']",open,2022-01-24T20:07:19Z,
22286,b'MAINT pin max numpydoc for now',"['Build / CI', 'Quick Review']",closed,2022-01-24T19:40:18Z,2022-01-24T19:46:31Z
22285,b'ENH Support 2d y_score with 2 classes in top_k_accuracy_score w/ labels',['module:metrics'],open,2022-01-24T17:00:18Z,
