id,Title,Tag,State,Open Date,Close Date
1103,b'gp_minimize unconstrained search ',[],open,2022-01-27T12:13:28Z,
1102,b'Model is fed wrong values by `BayesSearchCV`',[],open,2022-01-20T11:15:57Z,
1101,b'fix bug with float and str categories in Categorical space',[],open,2022-01-19T17:10:39Z,
1100,"b'Include point in ""the objective has been evaluated at this point before"" warning'",[],open,2022-01-05T20:41:37Z,
1099,b'BayesSearchCV supporting base estimator arguments',[],open,2022-01-02T06:57:44Z,
1098,b'Passing arguments other than skopt.space.space.Dimension',[],closed,2021-12-20T01:43:54Z,2021-12-20T03:08:22Z
1097,b'[MRG] Fix plot_gaussian_process not working with ps-acquisition',[],open,2021-12-14T21:22:34Z,
1096,b'[MRG] Make Real and Integer raise error when prior is log-uniform and bounds contain zero',[],open,2021-12-10T18:12:40Z,
1095,b'Parallelize scikit-optimize using Dask',['Question'],open,2021-12-05T17:51:10Z,
1094,b'[ENH] Better use proper parsing of the scikit-learn version numbers.',[],open,2021-12-02T15:39:20Z,
1093,b'[MRG] Deprecationwarning Numpy 1.20',[],open,2021-11-20T14:09:54Z,
1092,b'BayesSearchCV callback error',[],open,2021-11-15T21:56:42Z,
1091,b'Qusetion: convergence of surrogate function?',[],open,2021-11-11T09:41:01Z,
1090,b'Best practice for saving model in database?',[],open,2021-11-11T02:13:39Z,
1089,b'[MRG] Test DeltaYStopper with minimize functions fixes #357',[],open,2021-11-08T06:11:15Z,
1088,b'[MRG] Fix dimension mismatch with gp_minimize in Matern kernel when nu=0.5',[],open,2021-10-29T10:48:49Z,
1087,b'gp_minimize with EIps takes longer than with EI',[],open,2021-10-27T13:45:14Z,
1086,"b'ValueError: `max_samples` must be in range (0, 1) but got value 1.0 for random forest'",[],closed,2021-10-18T15:09:14Z,2021-10-19T12:04:02Z
1085,"b""BayesSearchCV | AttributeError: 'str' object has no attribute 'decode'""",['invalid'],closed,2021-10-18T00:58:52Z,2021-10-18T11:10:22Z
1084,b'Typo in default value',[],open,2021-10-15T15:39:06Z,
1083,b'MNT: Update __version__ for v0.10 development',[],open,2021-10-12T15:35:45Z,
1082,b'MNT: Update __version__ to 0.9.0',[],closed,2021-10-12T11:12:16Z,2021-10-12T13:32:38Z
1081,"b""ENH: Add 'ax' argument to all plotting functions""",[],open,2021-10-09T09:43:20Z,
1080,"b'MNT: Fix ""LaTeX Error: File \'tgtermes.sty\' not found."" on CircleCI'",[],closed,2021-10-07T14:51:56Z,2021-10-07T15:20:19Z
1079,b'MNT: Fix CircleCI builds by unpinning + full docs for PRs',[],closed,2021-10-07T00:03:02Z,2021-10-07T01:34:46Z
1078,b'Fix remaining sklearn 1.0 `return_X_y=` error',[],closed,2021-10-05T23:19:25Z,2021-10-05T23:31:35Z
1077,"b""Issue with sklearn and skopt. Cannot import name 'MaskedArray' again""",[],closed,2021-10-05T20:02:25Z,2021-10-12T14:42:11Z
1076,b'ImportError when using skopt with scikit-learn 1.0',[],closed,2021-10-05T12:30:14Z,2021-10-12T14:41:36Z
1075,b'DOC: Update whats_new for 0.9.0',[],closed,2021-10-04T19:13:13Z,2021-10-11T20:06:06Z
1074,b'Move CI to GitHub Actions',[],open,2021-10-04T18:15:33Z,
