url,title,comments,state,created_at,closed_at,
,,,,,,0
https://api.github.com/repos/opencv/opencv/issues/21326,b'OpenEXR vulnerabilities',"[b'Why is it so hard to put text information **as text**? Text screenshots are ridiculous.\r\nDo you understand that this blocks searching?', b'> Why is it so hard to put text information **as text**? Text screenshots are ridiculous. Do you understand that this blocks searching?\r\n\r\nSorry for that.\r\naccording to http://cve.mitre.org/cgi-bin/cvekey.cgi?keyword=openexr\r\n```\r\nCVE-2021-23169\r\nCVE-2021-3479\r\nCVE-2020-15306\r\nCVE-2020-15304\r\nCVE-2020-11758\r\nCVE-2021-3605\r\nCVE-2021-23215\r\nCVE-2020-15305\r\nCVE-2020-11760\r\nCVE-2020-11765\r\n```\r\n', b'Thank you! Updated the initial post.', b'Also openjpeg v2.4.0 you bundled has a Vulnerability which is  CVE-2021-29338.\r\nhttp://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2021-29338 @alalek ', b'> CVE-2021-29338\r\n> This occurs when the attacker uses the command line option ""-ImgDir"" on a directory that contains 1048576 files.\r\n\r\nProbably not applicable to OpenCV. We don\'t use OpenJPEG tools or apps. OpenCV uses decoder/encoder API subset only.\r\n\r\nAlso there are no new releases yet: https://github.com/uclouvain/openjpeg/releases', b'> > CVE-2021-29338\r\n> > This occurs when the attacker uses the command line option ""-ImgDir"" on a directory that contains 1048576 files.\r\n> \r\n> Probably not applicable to OpenCV. We don\'t use OpenJPEG tools or apps. OpenCV uses decoder/encoder API subset only.\r\n> \r\n> Also there are no new releases yet: https://github.com/uclouvain/openjpeg/releases\r\n\r\nI think so.  You\'d better have an eye on it.', b""I have prepared PR #21327 which disables bundled-in OpenEXR in runtime with link on this issue. So lets keep OpenEXR only problems in this issue.\r\n\r\nIf you have concerns about openjpeg please open another new issue. Initial analyzing shows that OpenCV is not affected by OpenJPEG issue, see the comment above. More analyzing requires more input/details (which we don't have)."", b'to fix openexr maybe you can update it to 3.x', b'New OpenEXR requires C++11, OpenCV 3.4 is C++98. So no upgrade is planned here.\r\nOpenEXR upgrade PR for OpenCV 4.x is here: #21324 (to be discussed after NY holidays).', b""Hi,\r\nI ran into this issue:\r\n![image](https://user-images.githubusercontent.com/13521689/148305911-4a97a6c7-09b4-4e4d-8b08-4c27228f0fc4.png)\r\n\r\nHence I wanted to bump this issue and ask if there's any solution (like downgrading openCV to solve this issue in the meantime)"", b'If you still need OpenEXR functionality and ensure that provided inputs are valid (from trusted sources) then you may turn off mentioned flag through environment variables (check internet how to use them).\r\n\r\nAny downgrading attempt is a security hole. Not recommended in general.\r\n\r\n---\r\n\r\nAvoid posting text information through screenshots in internet. It is ridiculous.', b""@alalek Wouldn't merging #21324 help fix the security issues?"", b""@alalek Hi. I'm having a same problem as fschiffers, currently using opencv 4.5.5. I'd be really grateful if you tell me more specific ways how to fix this problem using environment variables. I've tried following instructions from the error message which was using export OPENCV_IO_ENABLE_OPENEXR = true or alternatively by os.environ ~ = 'true' but didn't work. Thanks"", b'@skt0725 \r\n\r\nBoth \r\n\r\n```\r\nOPENCV_IO_ENABLE_OPENEXR=1 python my_script.py\r\n```\r\n\r\nOr using `os` **before** importing `cv2` works\r\n\r\n```python\r\nos.environ[""OPENCV_IO_ENABLE_OPENEXR""]=""1""\r\n```']",open,12/23/2021 8:48,,28
,,,,,,0
https://api.github.com/repos/opencv/opencv/issues/16951,b'null-pointer-dereference and buffer overflow: OpenCV 3.4',"[b'I believe these patches are not applicable to _3.4_ because _master_ branch has completely new parser implementation (#13011). Have you been able to reproduce any of these issues?', b'I have not yet attempted reproducing these issues, but that pull request you referenced shows that the code around https://github.com/opencv/opencv/blob/3.4/modules/core/src/persistence_xml.cpp#L409 in 3.4 just got moved to https://github.com/opencv/opencv/blob/master/modules/core/src/persistence_xml.cpp#L631 in master. And then there is a length check that has been added to that code in master, but not in 3.4', b'#15127 \r\n\r\nOpenCV 3.4 raises an exception using provided reproducer:\r\n\r\n> modules/core/src/persistence_c.cpp:552: error: (-204:Requested object was not found) Could not find the/an object in file storage in function \'cvLoad\'\r\n\r\nIt is normal expected behavior.\r\n\r\n---\r\n\r\n#15868\r\n\r\n> OpenCV 3.4.8 is not affected by mentioned problems.\r\n\r\nSee https://github.com/opencv/opencv/issues/15857#issuecomment-551018843\r\n\r\nRegular C++ exceptions are raised on passed reproducer data. The same status is for latest code from 3.4 branch.\r\n\r\n> modules/core/src/persistence_xml.cpp:90: error: (-212:Parsing error) icvXMLSkipSpaces in function \'i15857/poc.xml(0): Too long string or a last string w/o newline\'\r\n\r\nand\r\n\r\n> modules/core/src/persistence_json.cpp:321: error: (-212:Parsing error) icvJSONParseValue in function \'i15857/poc.json(0): \'""\' - right-quote of string is missing\'\r\n\r\n---\r\n\r\nSo there is no **real** problem yet.\r\nFixes may be partially applicable onto 3.4 branch. Feel free to propose patch for that.\r\n\r\nPriority => low, until we have confirmation (reproducer) of invalid behavior.', b'Sure, I may propose the patch this weekend. I too, when attempting to reproduce using OpenCV 3.4.9 had the exceptions']",open,4/2/2020 4:40,,8
,,,,,,0
https://api.github.com/repos/opencv/opencv/issues/14145,b'New JasPer release fixing CVEs',[b'Link to related issue: #14058'],open,3/25/2019 15:16,,2
,,,,,,0
https://api.github.com/repos/opencv/opencv/issues/20599,b'Upgrade OpenEXR version',[],open,8/24/2021 14:57,,0
,,,,,,0
https://api.github.com/repos/opencv/opencv/issues/17373,b'Vulnerability in FFmpeg 4.2.2',"[b""Thank you for the notice!\r\n\r\n> cbs_jpeg_split_fragment in libavcodec/cbs_jpeg.c in FFmpeg 4.2.2 has a heap-based buffer\r\n\r\nCurrent `opencv_ffmpeg*.dll` binaries are not affected by mentioned issue due build configuration flags.\r\n\r\nWe have this `config.h` content from x86/x86_64 builds:\r\n```\r\n#define CONFIG_CBS_JPEG 0\r\n```\r\n\r\n`cbs_jpeg.c` is excluded from compilation (no `cbs_jpeg.o` file in build folder).\r\n\r\nBuild process can be checked through build from this [source three](https://github.com/opencv/opencv_3rdparty/tree/ffmpeg/master) and using `BUILD_SKIP_OPENCV_UPDATE=1` environment variable (Docker is required).\r\n\r\nOpenCV team doesn't distribute FFmpeg in other forms than mentioned above (no FFmpeg in iOS or Android packages from release page, also we don't maintain Linux packages).\r\n\r\nMaintainers of other packaging systems should update in their way (usually through updating FFmpeg itself and rebuilding).\r\n\r\n---\r\n\r\nSo urgent upgrade of FFmpeg wrapper in OpenCV is not required.\r\nWe will update FFmpeg dependency on regular basic (few weeks before release)."", b'Thank you for investigating the issue and providing this informative response!\r\n\r\nTo simplify these kinds of issue investigations in the future, might it be worthwhile to put a copy of `config.h` (and/or other configuration products/logs) under version control alongside the DLLs?  This way, people could easily inspect the configuration without needing Docker and without needing to re-run the configuration/build script.']",closed,5/25/2020 16:17,12/5/2021 19:20,4
